hit_count,greek,english
9569246,να,to
7460197,το,the
5354999,δεν,not
5238595,είναι,is
4939701,θα,I will
4718628,και,and
3566240,μου,my
3186744,με,with
3083034,για,for
2966653,την,her
2898956,ο,The
2577653,η,the
2523921,τον,him
2479800,τα,the
2477071,που,where
2464399,σου,your
2415643,σε,in
2360488,αυτό,this
2302725,του,of
2298379,τι,what
2086376,ότι,that
1882234,από,from
1831681,στο,in the
1366660,της,her
1365953,όχι,no
1331107,ναι,Yes
1284852,ένα,one
1204489,τη,her
1193274,αν,if
1185640,αλλά,but
1151416,εδώ,here
1147723,μια,a
1137893,σας,your
1129821,τους,their
1128806,ήταν,it was
1082495,μας,us
1017225,πρέπει,must
1001826,είσαι,are you
982319,είμαι,I am
946218,οι,the
940013,στην,to
910408,πολύ,very
873138,κι,and
844430,γιατί,why
785242,πως,how
783872,τώρα,now
778129,εγώ,I
754234,εντάξει,Okay
689123,κάτι,something
683904,έχει,he's got
682859,ξέρω,I know
673515,τις,the
659512,έχω,I have
635503,δε,not
585442,μην,do not
569017,έτσι,so
555975,εσύ,you
532470,καλά,good
531449,αυτή,she
522362,θέλω,I want
507898,όταν,when
494683,στον,in
482940,στη,to
479425,μπορώ,can
471631,ξέρεις,You know
469137,έχεις,you have
460943,κάνεις,you do
456432,μόνο,only
452663,μαζί,together
448647,εκεί,there
441226,σαν,like
415449,όλα,all
409387,τίποτα,nothing
409289,σ,a
408824,ευχαριστώ,thanks
403038,ή,the
401650,πώς,how
395973,κάνω,I am doing
386122,απ,by
376398,τόσο,such a
374596,μπορεί,it can
366578,κάνει,do
362622,ποτέ,never
354760,απλά,simply
354543,αυτά,that's all
345170,των,of
341696,έλα,come
337757,λοιπόν,Well
335695,στα,in
330207,υπάρχει,exists
329730,ακόμα,still
326915,μπορείς,You can
322786,μέσα,inside
319167,πάμε,go
318719,σπίτι,home
315072,αυτός,he
314496,τότε,then
310279,ίσως,maybe
309993,έχουμε,we have
305078,γι,for
304920,πιο,more
304767,παρακαλώ,you are welcome
303401,ένας,a
302217,κύριε,Sir
301217,πού,where
288923,μετά,after
288649,νομίζω,I think so
288534,είμαστε,we are
287939,πριν,before
287499,πάντα,always
284028,πίσω,back
282805,γεια,Hello
280710,λίγο,a little bit
279644,πω,Well
274801,όπως,such as
256162,δουλειά,work
251675,αλήθεια,truth
251401,ποιος,who
246174,δύο,two
245665,είπε,he said
239184,όλοι,all
235576,είχε,he had
233013,ας,let
232791,έναν,one
230749,λες,you say
230153,παιδιά,children
225921,άλλο,other
223039,θέλεις,You want
220272,ζωή,Zoe
217884,κάνουμε,doing
215484,δω,see
212164,πάω,go
209348,μ,m
208324,μη,non
206458,έξω,outside
202908,καλό,good
201013,είπα,I said
199780,μία,a
199189,έχουν,they have
199165,επειδή,because
197800,ήμουν,I was
193545,μέχρι,until
191608,στις,at
190259,έπρεπε,ought
190191,κοίτα,Look
189034,ώρα,time
188929,πάνω,over
188541,μένα,me
188337,φορά,time
188308,χρόνια,years
187515,σένα,you
185390,είστε,you are
185019,ήθελα,I wanted
184849,ούτε,neither
184073,σωστά,correctly
182810,ωραία,fine
182573,όμως,Nevertheless
182419,κάποιος,someone
182242,μα,but
180448,κάθε,each
180390,πράγματα,things
179186,πες,tell
177761,είχα,I used to have
175587,καλή,good
172747,χωρίς,without
172399,μέρα,day
172301,κάτω,below
171669,γυναίκα,woman
171250,μπορούμε,we can
169179,μόλις,just
167823,κανείς,you do
167746,θες,you want
166275,έκανε,He made
165347,μαμά,mum
165201,ακριβώς,exactly
162205,καλύτερα,better
160249,αυτόν,him
159670,πάει,go
159402,σήμερα,today
159218,αρέσει,like
157641,θέλει,wants
157115,΄,΄
152817,λέει,says
152642,πόσο,how much
150438,συγγνώμη,Sorry
150348,έκανα,I did
147918,φαίνεται,it looks
147428,θεέ,God
147325,φυσικά,of course
146958,λυπάμαι,I am sorry
146383,μέρος,part
146361,συμβαίνει,it happens
146134,έγινε,done
145608,ό,The
143098,πας,every
141834,εμένα,me
141589,πεις,say
141398,πολλά,many
139403,όσο,as much as
139042,στιγμή,dot
138596,κάποιον,someone
136227,λάθος,error
135746,οπότε,so
134901,πράγμα,thing
134524,έχετε,you have got
134446,χρόνο,time
134116,είπες,you said
132682,δυο,two
132027,ω,oh
131064,γίνει,becomes
130926,εσένα,you
128160,κάποια,some
127967,ως,as
127846,ε,e
127290,περίμενε,wait
127000,πρόβλημα,problem
125303,παιδί,child
124968,ειναι,is
124751,ήσουν,you were
124385,πραγματικά,really
124188,πάλι,again
124109,άλλη,other
123661,απο,from
122637,έκανες,you did
121035,οχι,no
120488,όλο,all
119674,χρειάζεται,he needs
118413,βλέπω,I see
117929,μητέρα,mother
117790,υπάρχουν,there are
117487,πιστεύω,believe
116848,κυρία,Lady
116726,δικό,own
116200,ίδιο,same
115979,φίλε,friend
115945,γρήγορα,quickly
115377,στους,to
115200,πάρει,take
114752,σίγουρα,for sure
114535,πάρω,take
114305,αρκετά,enough
114015,μπαμπά,dad
113854,ιδέα,idea
112703,όλη,all
111952,εσείς,you
110710,λένε,they say
110513,λεφτά,money
110398,γίνεται,becomes
110203,νέα,news
109995,λέω,I say
109611,ξέρει,knows
107513,πήγαινε,go
106568,νομίζεις,you think
105960,φορές,times
105528,δει,see
105385,μάλλον,rather
105130,κ.,K.
104083,ήδη,already
102712,είδα,I saw
102351,σημαίνει,means
102334,εμείς,we
102099,ακόμη,yet
102043,όλους,everyone
100781,πατέρας,father
100342,οτι,that
98983,κάνουν,they do
98785,καιρό,Cairo
98633,προς,to
97474,εκτός,except
96563,κόσμο,people
96166,βράδυ,night
95498,μωρό,baby
95309,συγνώμη,Sorry
94929,όνομα,name
94865,πατέρα,father
94765,βλέπεις,you see
94520,χαρά,joy
94465,αύριο,tomorrow
93997,μπορούσα,I could
93732,σταμάτα,stop
93582,μπορείτε,you can
93444,μόνος,single
92898,αυτές,they
92003,νόμιζα,I thought
91877,αγάπη,love
91699,πρόκειται,it is about
91273,τελευταία,last
89427,άνθρωποι,people
89368,πρώτη,first
89013,πει,say
89003,μεγάλη,great
88781,ν,n
88699,τί,what
88604,καταλαβαίνω,I understand
88520,ήξερα,I knew
88079,δίκιο,right
88020,απόψε,tonight
87981,κανένα,none
87343,συνέβη,happened
87252,μακριά,away
87152,τέλος,end
86620,ποιο,wich one
86492,μπορούσε,could
86455,απλώς,simply
85924,αμέσως,immediately
85838,ξανά,again
85776,πότε,never
85642,τρόπο,way
85426,πάρε,take
85314,θέση,position
85299,μήπως,maybe
84969,αυτοί,these
84747,ξέρετε,You know
84620,αυτούς,them
84504,ήρθε,he came
84024,εαυτό,himself
83922,δική,trial
83105,ποια,which
82618,αυτήν,her
82558,μάλιστα,in fact
82453,κάνετε,you are doing
82162,περισσότερο,more
81082,κατά,against
81044,πόλη,city
80859,πια,any longer
80783,κορίτσι,girl
79216,θέλετε,Would you like
78582,κάποιο,something
78537,λεπτό,"minute, thin"
78423,κοντά,close
78191,χρειάζομαι,need
78141,θέμα,theme
77923,μιλήσω,speak
77854,μέρες,days
77778,είχες,had
77704,τύπος,type
77291,λεπτά,minutes
77276,επίσης,also
76978,χέρια,hands
76912,εκείνη,she
76848,έρθει,come
76564,βρω,find
76361,τέτοιο,such
75804,μερικές,a few
75500,πειράζει,tease
74838,βοήθεια,aid
74735,εννοώ,mean
74550,άνθρωπος,person
74465,μεγάλο,large
74197,βρούμε,find
73698,ανθρώπους,people
73635,δεις,See
73544,καθόλου,not at all
73260,εννοείς,you mean
72988,ορίστε,here you go
72763,αφού,after
72751,πέρα,beyond
72679,όπλο,weapon
72561,σίγουρος,sure
72503,ιστορία,history
72422,πήρε,got
72219,δούμε,see
72211,πρωί,morning
72083,ήθελε,wanted
72023,ελπίζω,hope
71820,πόρτα,door
71406,μάτια,eyes
71246,κάνε,make
71128,δρόμο,road
70574,όλες,all
70501,πιστεύεις,you believe
69392,ομάδα,club
69264,α,a
69111,μπροστά,in front
69104,κακό,bad
69090,καλύτερο,better
69053,σχέση,relationship
68972,καλός,good
68696,μόνη,lonely
68646,ώρες,hours
68389,αστυνομία,police
68183,φύγω,leave
67589,θυμάσαι,you remember
67572,ευκαιρία,opportunity
67458,λόγο,reason
67305,τ,T
67182,διάολο,hell
67151,βοηθήσω,help
67099,χέρι,hand
66743,αμάξι,cab
66105,ώστε,in order that
66059,νύχτα,night
65602,χαίρομαι,I am glad
65475,κεφάλι,head
65452,πήγε,went
65375,φύγε,go away
65293,ξέρουμε,we know
65089,γραφείο,office
65038,βρήκα,I found
64925,καν,even
64578,τέλεια,perfect
64412,γαμώτο,fucking
64344,άλλα,but
64301,ελάτε,come
64028,δωμάτιο,room
63953,μιλάς,you talk
63946,ίδια,itself
63740,δώσε,give
63708,κόρη,daughter
63577,φίλος,friend
63542,όπου,where
63169,κανέναν,none
62618,αγαπώ,love
62266,πρώτα,first
61706,ψέματα,lies
61664,οικογένεια,family
61644,καμία,none
61635,πάρεις,take
61591,χρήματα,money
61487,vα,VA
61207,δηλαδή,ie
61139,ανησυχείς,worried
60855,αγόρι,boy
60628,τρεις,three
60208,ενός,of a
60173,πέθανε,passed away
60033,ωραίο,nice
59827,σοβαρά,seriously
59580,αλλιώς,otherwise
59373,είχαμε,we had
59093,άντρας,man
58865,τουλάχιστον,at least
58676,έρχεται,comes
58599,πάνε,they go
58467,μικρό,small
57846,καρδιά,heart
57796,πήρα,I took
57633,δύσκολο,difficult
57507,φύγουμε,we leave
57484,πούμε,say
57251,τηλέφωνο,phone
56866,λέμε,we say
56209,αργότερα,later
56207,εάν,if
56057,νερό,water
55925,σχεδόν,almost
55803,τέτοια,such
55609,είδες,saw
55286,κάπου,somewhere
55275,μεταξύ,between
55072,χθες,yesterday
55032,νιώθω,I feel
54870,ποιός,who
54847,αντίο,Goodbye
54799,υπόθεση,case
54178,πέντε,five
54109,δώσω,give
53766,μήνες,months
53746,μυαλό,mind
53667,τρία,three
53607,θυμάμαι,I remember
53495,συμβεί,happen
53462,κόσμος,world
53114,θέλουν,want
53024,ενα,one
52938,αίμα,blood
52830,μικρή,small
52804,ρε,Hey
52789,πάρα,despite
52316,σχολείο,school
52315,τρόπος,way
52244,σύντομα,soon
52200,γυναίκες,women
52187,καμιά,none
51983,βέβαια,sure
51887,μπορούν,they can
51800,υποθέτω,I assume
51626,θέλουμε,we want
51604,σκατά,shit
51523,ήθελες,you wanted
51292,μπαμπάς,Daddy
51085,είχαν,they had
51001,άλλος,other
50976,μιλήσουμε,talk
50612,αυτο,this
50608,αργά,late
50350,εμάς,us
50313,μερικά,a few
50242,άντρες,men
50188,φίλοι,friends
49801,τρέχει,is running
49727,συνέχεια,Continuity
49052,φυλακή,prison
48899,σκέφτηκα,I thought
48818,φύγει,go
48680,ήρθες,you came
48333,πείτε,say
48236,εκείνο,that
48205,αφήσω,leave
48141,όσα,as many as
48122,ήρθα,I came
47979,νεκρός,dead
47717,πλάκα,plate
47602,έρθεις,come
47576,ποιον,whom
47538,σημασία,meaning
47324,γύρω,round
47087,βρεις,find
47076,παιχνίδι,game
46636,καλημέρα,good morning
46596,χάρη,grace
46397,καταλαβαίνεις,you understand
46330,έλεγα,I was saying
46283,κατάλαβα,Understood
46129,σκοτώσει,kill
46117,ελα,come
46071,σημαντικό,important
46049,άσε,lean
45966,πολλές,a lot
45878,πάρουμε,take
45875,όνομά,name
45870,συγχωρείτε,Excuse
45838,φύγεις,you go away
45730,άντρα,man
45634,κατάσταση,condition
45572,σκότωσε,killed
45555,εσάς,you
45515,φαγητό,food
45434,φοβάμαι,I'm afraid
45222,κορίτσια,girls
45158,ηταν,it was
45149,κοπέλα,girl
45083,βασικά,basically
45060,εμπρός,front
44927,λόγος,reason
44773,αυτοκίνητο,car
44180,κανένας,no one
44119,ζωής,life
44082,πρώτο,first
44062,γονείς,parents
43922,απόδοση,rendering
43655,άλλους,others
43653,θεός,god
43555,αστείο,funny
43547,γλυκιά,sweet
43513,πεθάνει,dies
43413,νοιάζει,care
43373,μείνε,stay
43352,έφυγε,left
43312,ενώ,while
43275,σχέδιο,plan
43239,υπήρχε,there was
43185,δολάρια,dollars
43095,έτοιμος,ready
42910,τύχη,luck
42817,αρχή,principle
42739,πόδια,legs
42694,έρθω,come
42610,άσχημα,bad
42572,οποίο,of which
42427,σωστό,right
42400,όμορφη,beautiful
42244,σίγουρη,confident
42226,τo,the
42204,νέο,new
42161,τελικά,after all
42020,άκουσα,I heard
41793,προσπαθώ,try
41777,βοηθήσει,help
41590,κε,au
41454,εχω,I have
41288,μοιάζει,it looks like
41128,φίλους,friends
41088,περίπου,about
40945,μπορούσες,you could
40354,αφεντικό,boss
40131,χρειαζόμαστε,we need
40108,δύναμη,power
40041,κάναμε,we did
39983,καλύτερη,better
39664,μείνει,stay
39618,γειά,Hello
39543,γη,Earth
39513,έδωσε,gave
39489,βρήκες,did you find
39475,περίπτωση,case
39412,γιος,son
39206,ραντεβού,appointment
39166,ακούγεται,sounds
39163,πάρτι,party
39144,επόμενη,next
39027,φέρω,bring
38842,κύριοι,gentlemen
38821,ακούω,I hear
38807,καλώς,well
38615,περάσει,pass
38595,περιμένω,I am waiting
38480,έι,eg
38424,μισό,a half
38377,επιλογή,selection
38375,σώμα,body
38323,τύπο,type
38200,δρ.,Dr.
38127,κύριος,Mr
38123,βρει,find
38023,χώρα,country
38020,νοσοκομείο,hospital
37911,μιας,of a
37878,τζακ,jack
37870,βιβλίο,book
37696,πλέον,most
37659,μπράβο,well done
37621,μάθω,learn
37612,μείνω,stay
37402,φίλο,friend
37399,αφήσεις,leaves
37349,περισσότερα,more
37210,ακούς,are you listening
37172,καφέ,coffee
37141,έξι,six
36775,όπλα,arms
36721,μήνυμα,message
36696,πρόσεχε,be careful
36605,γιο,son
36604,ήμασταν,We were
36283,θ,th
36241,κα,and
36239,σχετικά,about
36234,δεv,DOV
36160,δείτε,see
36082,χρειάζεσαι,You need
36065,διαλόγων,dialogue
35962,άρεσε,liked
35921,ταινία,film
35902,εύκολο,easy
35858,αφήστε,leave
35848,αξίζει,worth
35779,πρόσωπο,face
35741,καληνύχτα,Good night
35554,σκέφτομαι,I'm thinking
35528,βρίσκεται,is located
35519,οτιδήποτε,anything
35347,άκου,hearing
35346,περιμένετε,wait
35262,αρέσουν,like
35249,άλλον,another
35211,πήρες,took
35189,πήγα,I went
35169,συμφωνία,agreement
35154,o,o
35047,σκοτώσω,kill
34980,κρεβάτι,bed
34932,είπαν,they said
34927,μιλάω,I talk
34785,άλλες,others
34751,ποτό,drink
34709,προφανώς,obviously
34692,άφησε,she left
34655,ερώτηση,Question
34650,περιμένει,waits
34643,the,the
34625,σεξ,sex
34542,ηρέμησε,calm down
34461,δρ,Dr.
34418,δίπλα,beside
34246,άλλοι,others
34201,αυτού,his
34118,φίλη,friend
34108,σαμ,Sam
34012,κάπως,somewhat
33923,ξέρουν,they know
33890,βάλω,put
33827,σειρά,series
33754,κοιτάξτε,Look
33613,ήξερε,He knew
33596,τελευταίο,last one
33548,τζον,John
33518,πραγματικότητα,reality
33505,παρά,despite
33420,λέτε,you say
33361,εδω,here
33326,μείνεις,you stay
33301,τελείωσε,it is done
33267,έρχομαι,I am coming
33208,στ,f
33162,ήξερες,you knew
33120,έλεγε,he was saying
33102,γνωρίζω,I am aware
33082,γιατρός,doctor
33057,πέρασε,passed
32951,ακούσει,heard
32913,έκαναν,they did
32828,δουλεύει,it works
32814,ρούχα,clothes
32759,λέξη,word
32728,στοιχεία,data
32467,κάποιες,some
32257,υπέροχο,wonderful
32230,παλιά,old
32228,φωτιά,fire
32114,αδερφή,sister
32081,σημείο,point
32007,ερωτήσεις,questions
32001,δες,see
31994,πλευρά,side
31963,εντελώς,completely
31934,δώσει,give
31911,γίνω,become
31899,δέκα,ten
31815,κομμάτι,piece
31746,άρα,therefore
31656,δικά,own
31637,γίνεις,you become
31590,περιοχή,area
31556,φωτογραφία,Photo
31516,πουθενά,nowhere
31478,λίγη,little
31395,επάνω,up
31353,μιλάμε,we speak
31351,είδε,saw
31339,τελειώσει,finish
31292,εβδομάδα,week
31287,βρήκαμε,we found
31130,μάθει,learn
31080,δείπνο,dinner
31044,υπέροχα,lovely
31034,προσοχή,caution
30960,πάτε,pate
30879,οικογένειά,family
30802,περίεργο,strangeness
30777,βρήκε,he found
30719,μάθεις,learning
30622,περίμενα,I expected
30563,είδους,kind
30555,προβλήματα,problems
30554,πληροφορίες,information
30482,ημέρα,day
30476,βοηθήσεις,help
30445,πόσα,How many
30378,χριστέ,Christ
30340,επιμέλεια,diligence
30324,κάτσε,sit
30271,μιλήσει,talk
30242,μέλλον,future
30216,μιλάει,speaks
30106,πολλοί,many
30004,ντε,de
29934,ταξίδι,journey
29805,φύγετε,go away
29764,ετσι,so
29614,είτε,either
29611,άδεια,permission
29608,εχει,he's got
29535,άτομο,atom
29283,οποία,who
29162,προσπάθησε,tried
29141,εχεις,you have
29137,δείξω,show
29097,θάνατο,death
29070,μουσική,music
28977,σκάφος,vessel
28931,πόλεμο,war
28877,σκέφτεσαι,you think
28862,κάποτε,once
28797,τιμή,price
28688,σκάσε,Shut up
28642,καθώς,as
28527,γυρίσω,turn around
28483,τόσα,so
28458,γνώμη,opinion
28412,επιτέλους,Finally
28375,παντού,everywhere
28357,τμήμα,Department
28309,εναντίον,against
28305,μακάρι,I wish
28302,χάλια,crap
28293,υπό,sub
28244,έτοιμη,ready
28243,πάρτε,take
28196,εκείνος,that
28193,παίρνει,takes
28189,τζο,Joe
28133,ρωτήσω,ask
28085,θεού,god
28060,ασφάλεια,security
27991,υποτίθεται,assumed
27843,μήνα,month
27841,νιώθεις,feel
27806,υπόσχομαι,I promise
27791,πτώμα,corpse
27777,είδος,kind
27739,συνήθως,usually
27737,έρχονται,come
27703,μαλλιά,hair
27628,αλλα,but
27587,σύστημα,system
27582,ντετέκτιβ,detective
27490,γιατρέ,doctor
27459,όντως,indeed
27400,λίστα,list
27395,έτοιμοι,ready
27392,αλλάξει,change
27378,γάμο,Wedding
27377,κέντρο,centre
27331,αποστολή,Mission
27308,φοβάσαι,you are afraid
27267,οκ,OK
27262,φως,light
27259,δώσεις,give
27210,λίγα,few
27178,μάικλ,Michael
27175,δώρο,gift
27163,τον.,him.
27109,οταν,when
27043,χρόνος,year
27032,κυρίες,ladies
27001,κατάλαβες,did you understand
26999,πρώτος,first
26972,μέση,waist
26963,θεό,god
26957,ενδιαφέρον,interesting
26911,συνέχισε,he continued
26910,καλύτερος,better
26855,φωτογραφίες,photos
26763,άνθρωπο,man
26735,όμορφο,beautiful
26695,άνδρες,men
26686,βάλε,shoot
26679,είvαι,he is
26611,τρελός,crazy
26596,ευχαριστούμε,Thanks
26504,ισως,maybe
26478,βδομάδα,week
26413,χρειαστεί,need
26383,έρευνα,research
26383,φέρε,bring
26332,τσάρλι,charlie
26290,εν,in
26290,νόημα,meaning
26264,δεσποινίς,Miss
26076,λόγια,words
25932,μπορούσαμε,We could
25890,τέλειο,perfect
25790,αδελφή,sister
25738,λείπει,missing
25675,στόμα,mouth
25638,καιρός,weather
25628,άκρη,edge
25624,ματιά,eyes
25596,συγχωρείς,pardon
25584,έμαθα,I found out
25560,σταματήστε,stop
25548,σκεφτόμουν,I was thinking
25541,έλεγχο,control
25473,ακούστε,listen up
25374,μυστικό,secret
25334,ίδιος,own
25297,μιλήσεις,talk
25294,περιμένεις,you wait
25272,άντε,or
25259,κου,k
25242,πρώην,former
25174,παραπάνω,above
25119,σταματήσει,stop
25042,εξαιτίας,due to
25011,λιγότερο,less
24978,κράτα,hold
24935,επίθεση,attack
24766,περιμένουμε,we are waiting
24688,σκοτώσεις,killing
24665,πλοίο,ship
24478,δίνει,gives
24384,έχασα,I lost
24341,συχνά,often
24301,αφορά,concerns
24224,θύμα,victim
24182,παίρνεις,you get
24142,βάση,base
24123,ατύχημα,accident
24108,παίζει,he plays
24104,τομ,Tom
24065,δολοφόνος,killer
24036,εκατομμύρια,millions
24013,ξενοδοχείο,hotel
24005,βρείτε,find
23975,ήρθατε,you came
23968,πηγαίνετε,go
23928,βγει,out
23904,έπεσε,he fell
23868,δείχνει,shows
23827,αέρα,air
23809,φρανκ,Frank
23806,εισαι,are you
23789,μεγάλος,large
23780,βλέπετε,see
23757,τίποτε,nothing
23680,μικρέ,young
23672,βγάλω,get out
23642,παρελθόν,past
23615,μένει,stays
23592,πάντων,all
23529,ειλικρινά,sincerely
23491,δουλειές,business
23468,δικός,δ
23458,ρα,RA
23444,λόγω,because of
23442,ανάγκη,need
23415,δουλεύω,I work
23406,ξαφνικά,suddenly
23387,ανάμεσα,between
23350,άτομα,people
